Filename,Filepath,Flower,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10
1001.jpg,Flavia_dataset\pubescent bamboo\1001.jpg,pubescent bamboo,Train,Train,Train,Valid,Train,Train,Test,Train,Train,Train
1002.jpg,Flavia_dataset\pubescent bamboo\1002.jpg,pubescent bamboo,Train,Train,Train,Train,Test,Train,Train,Train,Valid,Train
1003.jpg,Flavia_dataset\pubescent bamboo\1003.jpg,pubescent bamboo,Train,Train,Test,Train,Train,Valid,Train,Train,Train,Train
1004.jpg,Flavia_dataset\pubescent bamboo\1004.jpg,pubescent bamboo,Train,Train,Train,Test,Valid,Train,Train,Train,Train,Train
1005.jpg,Flavia_dataset\pubescent bamboo\1005.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Train,Train,Train,Test,Valid
1006.jpg,Flavia_dataset\pubescent bamboo\1006.jpg,pubescent bamboo,Valid,Test,Train,Train,Train,Train,Train,Train,Train,Train
1007.jpg,Flavia_dataset\pubescent bamboo\1007.jpg,pubescent bamboo,Train,Train,Valid,Train,Train,Test,Train,Train,Train,Train
1008.jpg,Flavia_dataset\pubescent bamboo\1008.jpg,pubescent bamboo,Train,Valid,Train,Train,Train,Train,Train,Test,Train,Train
1009.jpg,Flavia_dataset\pubescent bamboo\1009.jpg,pubescent bamboo,Test,Train,Train,Train,Train,Train,Train,Valid,Train,Train
1010.jpg,Flavia_dataset\pubescent bamboo\1010.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Test
1011.jpg,Flavia_dataset\pubescent bamboo\1011.jpg,pubescent bamboo,Test,Train,Train,Train,Train,Train,Valid,Train,Train,Train
1012.jpg,Flavia_dataset\pubescent bamboo\1012.jpg,pubescent bamboo,Train,Train,Train,Valid,Test,Train,Train,Train,Train,Train
1013.jpg,Flavia_dataset\pubescent bamboo\1013.jpg,pubescent bamboo,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Test
1014.jpg,Flavia_dataset\pubescent bamboo\1014.jpg,pubescent bamboo,Train,Train,Test,Train,Train,Valid,Train,Train,Train,Train
1015.jpg,Flavia_dataset\pubescent bamboo\1015.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Test,Train,Train,Valid,Train
1016.jpg,Flavia_dataset\pubescent bamboo\1016.jpg,pubescent bamboo,Train,Valid,Train,Test,Train,Train,Train,Train,Train,Train
1017.jpg,Flavia_dataset\pubescent bamboo\1017.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Train,Train,Test,Train,Valid
1018.jpg,Flavia_dataset\pubescent bamboo\1018.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Train,Test,Valid,Train,Train
1019.jpg,Flavia_dataset\pubescent bamboo\1019.jpg,pubescent bamboo,Train,Test,Train,Train,Valid,Train,Train,Train,Train,Train
1020.jpg,Flavia_dataset\pubescent bamboo\1020.jpg,pubescent bamboo,Train,Train,Valid,Train,Train,Train,Train,Train,Test,Train
1021.jpg,Flavia_dataset\pubescent bamboo\1021.jpg,pubescent bamboo,Train,Train,Train,Train,Valid,Train,Train,Train,Test,Train
1022.jpg,Flavia_dataset\pubescent bamboo\1022.jpg,pubescent bamboo,Train,Train,Valid,Train,Train,Test,Train,Train,Train,Train
1023.jpg,Flavia_dataset\pubescent bamboo\1023.jpg,pubescent bamboo,Train,Train,Test,Train,Train,Train,Train,Train,Valid,Train
1024.jpg,Flavia_dataset\pubescent bamboo\1024.jpg,pubescent bamboo,Train,Test,Train,Train,Train,Train,Train,Valid,Train,Train
1025.jpg,Flavia_dataset\pubescent bamboo\1025.jpg,pubescent bamboo,Train,Train,Train,Train,Test,Train,Valid,Train,Train,Train
1026.jpg,Flavia_dataset\pubescent bamboo\1026.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Train,Test,Train,Train,Valid
1027.jpg,Flavia_dataset\pubescent bamboo\1027.jpg,pubescent bamboo,Test,Train,Train,Train,Train,Valid,Train,Train,Train,Train
1028.jpg,Flavia_dataset\pubescent bamboo\1028.jpg,pubescent bamboo,Train,Valid,Train,Test,Train,Train,Train,Train,Train,Train
1029.jpg,Flavia_dataset\pubescent bamboo\1029.jpg,pubescent bamboo,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Test
1030.jpg,Flavia_dataset\pubescent bamboo\1030.jpg,pubescent bamboo,Valid,Train,Train,Train,Train,Train,Train,Test,Train,Train
1031.jpg,Flavia_dataset\pubescent bamboo\1031.jpg,pubescent bamboo,Train,Train,Valid,Test,Train,Train,Train,Train,Train,Train
1032.jpg,Flavia_dataset\pubescent bamboo\1032.jpg,pubescent bamboo,Valid,Train,Train,Train,Train,Train,Test,Train,Train,Train
1033.jpg,Flavia_dataset\pubescent bamboo\1033.jpg,pubescent bamboo,Train,Train,Train,Train,Test,Train,Train,Train,Train,Valid
1034.jpg,Flavia_dataset\pubescent bamboo\1034.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Test,Train,Train,Valid,Train
1035.jpg,Flavia_dataset\pubescent bamboo\1035.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Valid,Train,Test,Train,Train
1036.jpg,Flavia_dataset\pubescent bamboo\1036.jpg,pubescent bamboo,Test,Train,Train,Train,Train,Train,Valid,Train,Train,Train
1037.jpg,Flavia_dataset\pubescent bamboo\1037.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Train,Train,Valid,Test,Train
1038.jpg,Flavia_dataset\pubescent bamboo\1038.jpg,pubescent bamboo,Train,Valid,Test,Train,Train,Train,Train,Train,Train,Train
1039.jpg,Flavia_dataset\pubescent bamboo\1039.jpg,pubescent bamboo,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Test
1040.jpg,Flavia_dataset\pubescent bamboo\1040.jpg,pubescent bamboo,Train,Test,Train,Train,Valid,Train,Train,Train,Train,Train
1041.jpg,Flavia_dataset\pubescent bamboo\1041.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Train,Test,Train,Train,Valid
1042.jpg,Flavia_dataset\pubescent bamboo\1042.jpg,pubescent bamboo,Test,Valid,Train,Train,Train,Train,Train,Train,Train,Train
1043.jpg,Flavia_dataset\pubescent bamboo\1043.jpg,pubescent bamboo,Train,Train,Valid,Train,Train,Train,Train,Train,Test,Train
1044.jpg,Flavia_dataset\pubescent bamboo\1044.jpg,pubescent bamboo,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Test
1045.jpg,Flavia_dataset\pubescent bamboo\1045.jpg,pubescent bamboo,Train,Train,Train,Train,Valid,Train,Train,Test,Train,Train
1046.jpg,Flavia_dataset\pubescent bamboo\1046.jpg,pubescent bamboo,Train,Train,Test,Valid,Train,Train,Train,Train,Train,Train
1047.jpg,Flavia_dataset\pubescent bamboo\1047.jpg,pubescent bamboo,Train,Train,Train,Train,Test,Train,Valid,Train,Train,Train
1048.jpg,Flavia_dataset\pubescent bamboo\1048.jpg,pubescent bamboo,Train,Train,Train,Test,Train,Train,Train,Train,Valid,Train
1049.jpg,Flavia_dataset\pubescent bamboo\1049.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Test,Train,Valid,Train,Train
1050.jpg,Flavia_dataset\pubescent bamboo\1050.jpg,pubescent bamboo,Train,Test,Train,Train,Train,Valid,Train,Train,Train,Train
1051.jpg,Flavia_dataset\pubescent bamboo\1051.jpg,pubescent bamboo,Test,Train,Train,Valid,Train,Train,Train,Train,Train,Train
1052.jpg,Flavia_dataset\pubescent bamboo\1052.jpg,pubescent bamboo,Train,Train,Train,Train,Valid,Train,Train,Test,Train,Train
1053.jpg,Flavia_dataset\pubescent bamboo\1053.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Train,Test,Train,Train,Valid
1054.jpg,Flavia_dataset\pubescent bamboo\1054.jpg,pubescent bamboo,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Test
