kfold_file,feature,fold,model_file,val_acc,test_acc
Dataset_10FoldCV_random.csv,image,1,Dataset_10FoldCV_random_models/ENCODER-image-l2rate0.001-dropout0.5-fold1.h5,0.9895287752151488,0.9842932224273682
Dataset_10FoldCV_random.csv,vein,1,Dataset_10FoldCV_random_models/ENCODER-vein-l2rate0.001-dropout0.5-fold1.h5,0.9581151604652404,0.9476439952850342
Dataset_10FoldCV_random.csv,xyprojection,1,Dataset_10FoldCV_random_models/ENCODER-xyprojection-l2rate0.001-dropout0.5-fold1.h5,0.8952879309654236,0.8272251486778259
Dataset_10FoldCV_random.csv,color,1,Dataset_10FoldCV_random_models/ENCODER-color-l2rate0.001-dropout0.5-fold1.h5,0.9162303805351256,0.9214659929275512
Dataset_10FoldCV_random.csv,texture,1,Dataset_10FoldCV_random_models/ENCODER-texture-l2rate0.001-dropout0.5-fold1.h5,0.8900523781776428,0.8481675386428833
Dataset_10FoldCV_random.csv,fourier,1,Dataset_10FoldCV_random_models/ENCODER-fourier-l2rate0.01-dropout0.5-fold1.h5,0.8691099286079407,0.8638743162155151
Dataset_10FoldCV_random.csv,shape,1,Dataset_10FoldCV_random_models/ENCODER-shape-l2rate0.01-dropout0.5-fold1.h5,0.926701545715332,0.9057591557502748
Dataset_10FoldCV_random.csv,image,2,Dataset_10FoldCV_random_models/ENCODER-image-l2rate0.0001-dropout0.5-fold2.h5,0.9842932224273682,0.9685863852500916
Dataset_10FoldCV_random.csv,vein,2,Dataset_10FoldCV_random_models/ENCODER-vein-l2rate0.0001-dropout0.5-fold2.h5,0.9738219976425172,0.926701545715332
Dataset_10FoldCV_random.csv,xyprojection,2,Dataset_10FoldCV_random_models/ENCODER-xyprojection-l2rate0.01-dropout0.5-fold2.h5,0.9371727705001832,0.8743455410003662
Dataset_10FoldCV_random.csv,color,2,Dataset_10FoldCV_random_models/ENCODER-color-l2rate0.0001-dropout0.5-fold2.h5,0.9214659929275512,0.8743455410003662
Dataset_10FoldCV_random.csv,texture,2,Dataset_10FoldCV_random_models/ENCODER-texture-l2rate0.001-dropout0.5-fold2.h5,0.8324607610702515,0.8534031510353088
Dataset_10FoldCV_random.csv,fourier,2,Dataset_10FoldCV_random_models/ENCODER-fourier-l2rate1.0-dropout0.5-fold2.h5,0.8900523781776428,0.8219895362854004
Dataset_10FoldCV_random.csv,shape,2,Dataset_10FoldCV_random_models/ENCODER-shape-l2rate0.001-dropout0.5-fold2.h5,0.9371727705001832,0.9371727705001832
Dataset_10FoldCV_random.csv,image,3,Dataset_10FoldCV_random_models/ENCODER-image-l2rate0.01-dropout0.5-fold3.h5,0.9894737005233764,0.9581151604652404
Dataset_10FoldCV_random.csv,vein,3,Dataset_10FoldCV_random_models/ENCODER-vein-l2rate0.001-dropout0.5-fold3.h5,0.9894737005233764,0.9214659929275512
Dataset_10FoldCV_random.csv,xyprojection,3,Dataset_10FoldCV_random_models/ENCODER-xyprojection-l2rate0.001-dropout0.5-fold3.h5,0.9368420839309692,0.8586387634277344
Dataset_10FoldCV_random.csv,color,3,Dataset_10FoldCV_random_models/ENCODER-color-l2rate0.01-dropout0.5-fold3.h5,0.9315789341926576,0.8952879309654236
Dataset_10FoldCV_random.csv,texture,3,Dataset_10FoldCV_random_models/ENCODER-texture-l2rate0.1-dropout0.5-fold3.h5,0.8947368264198303,0.7958115339279175
Dataset_10FoldCV_random.csv,fourier,3,Dataset_10FoldCV_random_models/ENCODER-fourier-l2rate0.001-dropout0.5-fold3.h5,0.9105263352394104,0.8795811533927917
Dataset_10FoldCV_random.csv,shape,3,Dataset_10FoldCV_random_models/ENCODER-shape-l2rate0.001-dropout0.5-fold3.h5,0.9157894849777222,0.9214659929275512
Dataset_10FoldCV_random.csv,image,4,Dataset_10FoldCV_random_models/ENCODER-image-l2rate0.1-dropout0.5-fold4.h5,0.9947643876075744,0.9736841917037964
Dataset_10FoldCV_random.csv,vein,4,Dataset_10FoldCV_random_models/ENCODER-vein-l2rate0.0001-dropout0.5-fold4.h5,0.9738219976425172,0.9578947424888612
Dataset_10FoldCV_random.csv,xyprojection,4,Dataset_10FoldCV_random_models/ENCODER-xyprojection-l2rate1.0-dropout0.5-fold4.h5,0.8900523781776428,0.8947368264198303
Dataset_10FoldCV_random.csv,color,4,Dataset_10FoldCV_random_models/ENCODER-color-l2rate0.01-dropout0.5-fold4.h5,0.8900523781776428,0.8684210777282715
Dataset_10FoldCV_random.csv,texture,4,Dataset_10FoldCV_random_models/ENCODER-texture-l2rate0.001-dropout0.5-fold4.h5,0.8376963138580322,0.8736842274665833
Dataset_10FoldCV_random.csv,fourier,4,Dataset_10FoldCV_random_models/ENCODER-fourier-l2rate1.0-dropout0.5-fold4.h5,0.8848167657852173,0.921052634716034
Dataset_10FoldCV_random.csv,shape,4,Dataset_10FoldCV_random_models/ENCODER-shape-l2rate0.01-dropout0.5-fold4.h5,0.9371727705001832,0.921052634716034
Dataset_10FoldCV_random.csv,image,5,Dataset_10FoldCV_random_models/ENCODER-image-l2rate0.001-dropout0.5-fold5.h5,0.9894737005233764,0.9947643876075744
Dataset_10FoldCV_random.csv,vein,5,Dataset_10FoldCV_random_models/ENCODER-vein-l2rate0.0001-dropout0.5-fold5.h5,0.9578947424888612,0.9633507728576659
Dataset_10FoldCV_random.csv,xyprojection,5,Dataset_10FoldCV_random_models/ENCODER-xyprojection-l2rate0.1-dropout0.5-fold5.h5,0.9421052336692809,0.8848167657852173
Dataset_10FoldCV_random.csv,color,5,Dataset_10FoldCV_random_models/ENCODER-color-l2rate0.001-dropout0.5-fold5.h5,0.9473684430122375,0.9057591557502748
Dataset_10FoldCV_random.csv,texture,5,Dataset_10FoldCV_random_models/ENCODER-texture-l2rate0.0001-dropout0.5-fold5.h5,0.8631578683853149,0.8429319262504578
Dataset_10FoldCV_random.csv,fourier,5,Dataset_10FoldCV_random_models/ENCODER-fourier-l2rate0.01-dropout0.5-fold5.h5,0.8947368264198303,0.8795811533927917
Dataset_10FoldCV_random.csv,shape,5,Dataset_10FoldCV_random_models/ENCODER-shape-l2rate0.001-dropout0.5-fold5.h5,0.9421052336692809,0.9162303805351256
Dataset_10FoldCV_random.csv,image,6,Dataset_10FoldCV_random_models/ENCODER-image-l2rate0.0001-dropout0.5-fold6.h5,0.9947368502616882,0.9842105507850648
Dataset_10FoldCV_random.csv,vein,6,Dataset_10FoldCV_random_models/ENCODER-vein-l2rate0.0001-dropout0.5-fold6.h5,0.9578947424888612,0.921052634716034
Dataset_10FoldCV_random.csv,xyprojection,6,Dataset_10FoldCV_random_models/ENCODER-xyprojection-l2rate0.001-dropout0.5-fold6.h5,0.921052634716034,0.8999999761581421
Dataset_10FoldCV_random.csv,color,6,Dataset_10FoldCV_random_models/ENCODER-color-l2rate0.01-dropout0.5-fold6.h5,0.9421052336692809,0.9315789341926576
Dataset_10FoldCV_random.csv,texture,6,Dataset_10FoldCV_random_models/ENCODER-texture-l2rate0.0001-dropout0.5-fold6.h5,0.8736842274665833,0.8473684191703796
Dataset_10FoldCV_random.csv,fourier,6,Dataset_10FoldCV_random_models/ENCODER-fourier-l2rate0.1-dropout0.5-fold6.h5,0.8894736766815186,0.8842105269432068
Dataset_10FoldCV_random.csv,shape,6,Dataset_10FoldCV_random_models/ENCODER-shape-l2rate0.001-dropout0.5-fold6.h5,0.9052631855010986,0.9368420839309692
Dataset_10FoldCV_random.csv,image,7,Dataset_10FoldCV_random_models/ENCODER-image-l2rate0.001-dropout0.5-fold7.h5,1.0,0.9947643876075744
Dataset_10FoldCV_random.csv,vein,7,Dataset_10FoldCV_random_models/ENCODER-vein-l2rate0.01-dropout0.5-fold7.h5,0.9528796076774596,0.9424083828926086
Dataset_10FoldCV_random.csv,xyprojection,7,Dataset_10FoldCV_random_models/ENCODER-xyprojection-l2rate0.01-dropout0.5-fold7.h5,0.9371727705001832,0.9109947681427002
Dataset_10FoldCV_random.csv,color,7,Dataset_10FoldCV_random_models/ENCODER-color-l2rate0.001-dropout0.5-fold7.h5,0.9005235433578491,0.9214659929275512
