kfold_file,fold,feature,l2_rate,dropout_rate,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,1e-05,0.5,0.8883053064346313,0.022235415875911713,0.8757095336914062,0.011377778835594654
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,0.0001,0.5,0.8835822939872742,0.01736888661980629,0.8825405836105347,0.013054538518190384
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,0.001,0.5,0.8935354351997375,0.017793284729123116,0.8893468976020813,0.015858205035328865
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,0.01,0.5,0.8862165212631226,0.02182392030954361,0.8725765347480774,0.016219334676861763
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,0.1,0.5,0.8521355390548706,0.016921840608119965,0.8405869603157043,0.018176157027482986
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,1.0,0.5,0.7802948355674744,0.01664995588362217,0.7834389805793762,0.009752670302987099
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,1e-05,0.5,0.8216809034347534,0.029442008584737778,0.8206502795219421,0.02103438600897789
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,0.0001,0.5,0.8217002153396606,0.020115874707698822,0.8201377987861633,0.017521129921078682
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,0.001,0.5,0.8248277902603149,0.022486131638288498,0.8290300369262695,0.022653179243206978
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,0.01,0.5,0.8206475377082825,0.01232508197426796,0.8175061941146851,0.024164211004972458
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,0.1,0.5,0.7891871333122253,0.017617471516132355,0.7781867980957031,0.02106156200170517
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,1.0,0.5,0.718941867351532,0.01605868525803089,0.7168393135070801,0.016633478924632072
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",fourier,1e-05,0.5,0.7776660323143005,0.030881263315677643,0.7739900350570679,0.02675088495016098
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",fourier,0.0001,0.5,0.7734555006027222,0.021979348734021187,0.7839597463607788,0.021166477352380753
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",fourier,0.001,0.5,0.7834500074386597,0.027705881744623184,0.7724193930625916,0.01626877672970295
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",fourier,0.01,0.5,0.7960320115089417,0.02855060249567032,0.7881647348403931,0.029633454978466034
