kfold_file,fold,feature,l2_rate,dropout_rate,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,0.01,0.5,0.8930255770683289,0.01709231548011303,0.8835740089416504,0.012697840109467506
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,0.1,0.5,0.8725792169570923,0.01620262861251831,0.8657674789428711,0.019285164773464203
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,1.0,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,1e-05,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,0.0001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,0.001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,0.01,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,0.1,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",texture,1.0,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",fourier,1e-05,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",fourier,0.0001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",fourier,0.001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",fourier,0.01,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",fourier,0.1,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",fourier,1.0,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",shape,1e-05,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",shape,0.0001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",shape,0.001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",shape,0.01,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",shape,0.1,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",shape,1.0,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",vein,1e-05,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",vein,0.0001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",vein,0.001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",vein,0.01,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",vein,0.1,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",vein,1.0,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",xyprojection,1e-05,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",xyprojection,0.0001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",xyprojection,0.001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",xyprojection,0.01,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",xyprojection,0.1,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",xyprojection,1.0,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",image,1e-05,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",image,0.0001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",image,0.001,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",image,0.01,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",image,0.1,0.5,,,,
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",image,1.0,0.5,,,,
